Table 1
device_name,device_name,alias,,,,
hb3-Galil3,HB3:Mot:bbb,bbb,,,,
hb3-Galil3,HB3:Mot:bbt,bbt,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMainISAcquireTimer,time_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimDetEventTotal_RBV,det_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMonEventTotal_RBV,monitor_sim,,,,
hb3-TASCommands,HB3:TASCommands:SimMCUCounts,mcu_sim,,,,
hb3-TASCommands,HB3:Det:M1:InternalStopMode,acq_meta_stop_mode,,,,
hb3-TASCommands,HB3:Det:M1:InternalStopThreshold,acq_meta_stop_threshold,,,,
hb3-TASCommands,HB3:Det:M1:DoneCounting,acq_meta_done_counting,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMainStopMode,acq_main_stop_mode_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMainStopThreshold,acq_main_stop_threshold_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMainDoneCounting,acq_main_done_counting_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMetaStopMode,acq_meta_stop_mode_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMetaStopThreshold,acq_meta_stop_threshold_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimMetaDoneCounting,acq_meta_done_counting_sim,,,,
hb3-TASCommands,HB3:TASCommands:AcqSimCountSelector,acq_cnt_selector_sim,,,,
hb3-HighLevel,HB3:TASCount:CalcMCU,mcu,,,,
hb3-TASMeasure,HB3:TASMeasure:CurMeasureCommand,measure_cur_cmd,,,,
hb3-TASMeasure,HB3:TASMeasure:CurMeasureTitle,measure_cur_title,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitMotor,measure_cur_fit_mot,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitStart,measure_cur_fit_start,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitEnd,measure_cur_fit_end,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitStep,measure_cur_fit_step,,,,
hb3-TASMeasure,HB3:TASMeasure:CurCounter,measure_cur_counter,,,,
hb3-TASMeasure,HB3:TASMeasure:CurCounts,measure_cur_counts,,,,
hb3-TASMeasure,HB3:TASMeasure:CurDetector,measure_cur_detector,,,,
hb3-TASMeasure,HB3:TASMeasure:CurRunMode,measure_cur_run_mode,,,,
hb3-TASMeasure,HB3:TASMeasure:CurNormalize,measure_cur_normalize,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitMethod,measure_cur_fit_method,,,,
hb3-TASMeasure,HB3:TASMeasure:CurCheckFit,measure_cur_check_fit,,,,
hb3-TASMeasure,HB3:TASMeasure:CurFitRestrict,measure_cur_fit_restriction,,,,
hb3-TASMeasure,HB3:TASMeasure:CurMoveToCenter,measure_cur_fit_move_to_center,,,,
